timestamp,x,y,z
30185,-5.62,32.47,-5.92
30388,-0.73,22.03,5.8
30592,-1.89,-10.62,-3.54
30797,-2.01,0.18,-3.78
31001,10.93,0.12,-6.65
31206,-9.09,17.88,-1.59
31410,14.04,0.49,-0.61
31613,-16.05,22.71,-2.2
31818,-1.83,27.04,-3.11
32020,68.66,3.11,-1.89
32224,-26.43,4.88,-2.01
32428,-53.04,11.72,-2.81
32632,-10.19,1.1,-0.49
32837,-20.94,2.99,-0.92
33039,0.55,0.49,-0.67
33243,-0.92,22.64,-3.3
33447,4.64,0.31,-0.67
33652,-1.16,0.24,-0.37
33855,2.93,-1.4,-0.12
34058,-0.12,0.31,-0.49
34260,2.14,0.31,-0.43
34464,1.22,0.31,-0.61
34668,-1.53,1.34,-0.67
34872,0.49,4.27,-1.04
35075,0.31,0.12,-0.49
35279,1.59,-0.12,-0.49
35481,1.16,0.18,-0.55
35685,-3.23,-0.79,0.0
35888,2.38,-1.46,-0.06
36093,0.43,0.24,-0.55
36297,2.14,-1.34,-0.37
36499,1.53,-0.18,-0.43
36704,2.62,0.24,-0.55
36906,4.21,-2.08,-0.18
37110,2.08,0.31,-0.49
37314,-1.22,0.24,-0.43
37517,3.91,0.43,-0.98
37720,-2.01,0.24,-0.61
37923,-4.7,0.18,-0.37
38126,1.4,0.31,-0.55
38330,3.48,-1.83,-0.12
38534,5.07,-0.31,-0.31
38737,0.49,0.24,-0.61
38939,-1.65,0.06,-0.55
39142,0.49,0.24,-0.55
39345,-1.1,0.24,-0.49
39548,0.18,0.12,-0.43
39750,1.46,15.56,-0.61
39953,-0.55,-0.12,-0.31
40156,0.61,-0.73,-0.37
40359,0.0,-0.18,-0.31
40562,-0.55,0.06,-0.49
40765,-0.92,0.24,-0.37
40967,-25.39,5.74,-1.16
41170,0.73,-0.73,-0.12
41374,0.06,-2.62,-0.31
41577,-0.18,-2.62,-0.31
41781,0.0,-2.81,-0.31
41985,0.37,0.18,-0.49
42188,0.49,-0.92,-0.37
42392,0.43,-0.49,-0.37
42595,0.43,0.06,-0.49
42799,0.43,0.24,-0.55
43002,0.49,0.31,-0.49
43205,0.43,0.24,-0.49
43408,0.43,0.24,-0.49
43610,0.43,2.01,-0.85
43814,2.5,0.06,-0.43
44017,-4.39,7.08,-1.53
44220,-0.12,0.24,-0.49
44424,0.49,0.31,-0.55
44628,1.22,0.24,-0.49
44830,0.79,0.31,-0.61
45034,0.79,0.24,-0.49
45237,0.06,0.31,-0.49
45440,0.79,0.24,-0.55
45642,-0.43,0.24,-0.55
45845,0.67,0.31,-0.55
46049,0.43,0.24,-0.49
46251,1.77,0.24,-0.55
46455,0.06,0.31,-0.55
46658,0.49,0.24,-0.49
46862,0.73,0.31,-0.55
47064,0.37,0.24,-0.49
47268,0.43,0.24,-0.49
47470,-0.12,0.31,-0.55
47673,0.06,0.31,-0.49
47876,0.43,0.24,-0.55
48080,0.67,0.24,-0.55
48283,-0.31,0.24,-0.49
48487,1.16,0.24,-0.43
48690,0.37,0.31,-0.49
48893,-0.73,0.24,-0.49
49096,0.37,-1.1,-0.37
49300,0.18,0.06,-0.49
49503,0.55,0.24,-0.49
49706,-0.73,0.24,-0.55
49909,0.92,0.24,-0.55
50113,0.24,0.31,-0.49
50316,0.0,0.24,-0.49
50518,0.67,0.24,-0.49
50722,0.61,0.24,-0.49
50926,0.61,0.24,-0.49
51129,0.37,1.22,-0.61
51332,0.37,0.49,-0.55
51535,0.43,0.24,-0.49
51739,0.43,0.24,-0.55
51943,0.43,0.31,-0.49
52147,0.43,0.49,-0.55
52350,0.43,0.24,-0.49
52554,0.43,0.24,-0.49
52758,0.43,0.18,-0.49
52961,0.43,0.31,-0.49
53163,0.37,0.24,-0.49
53366,2.14,-0.12,-0.49
53569,0.49,-0.85,-0.31
53772,0.43,0.31,-0.55
53974,0.49,0.24,-0.49
54178,0.49,0.24,-0.49
54380,0.61,0.24,-0.49
54583,0.37,0.24,-0.55
54785,0.55,0.18,-0.55
54988,0.43,0.31,-0.49
55190,1.1,0.24,-0.49
55393,0.98,0.06,-0.43
55595,-0.37,0.18,-0.49
55798,0.06,0.24,-0.49
56000,0.43,0.31,-0.49
56203,0.55,0.0,-0.43
56406,0.43,0.24,-0.49
56609,0.37,0.31,-0.55
56811,0.67,-2.2,-0.18
57014,2.75,0.12,-0.49
57217,4.94,-0.85,-0.31
57420,-0.67,-3.97,0.73
57624,1.28,0.31,-0.49
57828,1.04,0.43,-0.61
58031,-11.11,7.14,-1.46
58234,0.37,0.37,-0.55
58437,0.24,0.12,-0.61
58639,-0.37,4.46,-1.28
58842,0.31,0.43,-0.73
59044,0.43,0.24,-0.55
59247,0.43,0.24,-0.61
59450,0.49,0.24,-0.49
59652,0.43,0.31,-0.55
59856,0.37,0.31,-0.61
60058,0.37,0.37,-0.55
60261,0.61,0.18,-0.43
60464,0.43,0.24,-0.49
60667,0.49,0.31,-0.49
60870,0.43,0.24,-0.55
61072,0.43,0.24,-0.55
61274,0.43,0.24,-0.55
61478,0.49,-0.61,-0.49
61680,0.43,0.31,-0.61
61883,0.49,0.31,-0.49
62085,0.43,0.24,-0.49
62289,0.49,0.24,-0.55
62492,0.49,0.24,-0.49
62696,0.43,0.24,-0.55
62899,0.55,0.24,-0.55
63103,0.43,0.24,-0.55
63307,0.43,0.24,-0.55
63510,0.37,0.24,-0.55
63714,0.43,0.24,-0.49
63917,0.43,0.24,-0.61
64120,0.43,0.31,-0.49
64325,0.37,0.24,-0.61
64528,0.37,0.24,-0.49
64731,0.55,0.24,-0.49
64934,0.55,0.24,-0.49
65137,0.43,0.24,-0.55
65340,0.49,0.31,-0.55
65544,0.49,0.31,-0.55
65747,0.49,0.24,-0.49
65949,0.43,0.24,-0.49
66152,0.43,0.31,-0.55
66354,0.37,0.31,-0.55
66557,0.37,0.31,-0.55
66759,0.43,0.24,-0.55
66964,0.37,0.18,-0.55
67167,0.43,0.24,-0.55
67370,0.37,0.24,-0.55
67572,0.43,0.31,-0.49
67775,0.43,0.24,-0.49
67978,0.43,0.24,-0.49
68182,0.43,0.24,-0.55
68384,0.98,4.7,-0.85
68587,0.43,0.06,-0.55
68791,0.49,0.18,-0.43
68994,0.43,0.24,-0.49
69198,0.43,0.31,-0.55
69400,0.49,0.24,-0.49
69604,0.43,0.24,-0.55
69807,0.43,0.24,-0.55
70010,0.55,0.37,-0.55
70214,0.49,-0.06,-0.37
70417,0.49,0.18,-0.49
70621,0.43,0.24,-0.55
70824,0.43,0.24,-0.55
71028,0.43,0.24,-0.49
71231,0.43,0.24,-0.55
71434,0.43,0.31,-0.55
71638,0.49,0.24,-0.49
71840,0.43,0.24,-0.55
72042,0.49,0.24,-0.49
72246,0.43,0.24,-0.49
72449,0.37,0.31,-0.55
72652,0.43,0.24,-0.55
72855,0.43,0.31,-0.49
73059,0.43,0.24,-0.49
73263,0.43,0.31,-0.49
73466,0.43,0.24,-0.55
73669,-2.93,4.33,-0.92
73873,0.37,-0.67,-0.37
74077,0.49,0.12,-0.49
74280,0.43,0.06,-0.49
74483,0.43,0.31,-0.49
74686,0.67,0.24,-0.55
74890,0.37,0.24,-0.43
75093,15.38,0.24,-0.37
75296,0.24,0.31,-0.61
75499,26.0,0.06,0.06
75701,74.83,-0.67,0.0
75906,29.6,2.62,-2.69
