timestamp,x,y,z
522907,0.43,-0.31,-0.55
523111,0.43,-0.24,-0.55
523314,0.43,0.31,-0.55
523517,0.43,0.73,-0.61
523721,0.49,0.37,-0.55
523924,0.49,-0.24,-0.49
524128,0.49,0.55,-0.61
524333,0.49,0.12,-0.55
524537,0.37,0.12,-0.73
524742,0.43,-0.12,-0.55
524946,0.55,0.31,-0.61
525150,0.49,-0.24,-0.55
525356,0.43,1.59,-0.61
525560,0.55,0.43,-0.55
525763,0.49,0.55,-0.55
525967,0.49,0.37,-0.55
526171,0.43,0.18,-0.55
526376,0.49,0.18,-0.61
526581,0.49,0.18,-0.61
526786,0.49,0.43,-0.55
526991,0.49,0.12,-0.55
527194,0.49,0.18,-0.55
527399,0.49,0.31,-0.55
527602,0.49,0.18,-0.55
527806,0.49,0.37,-0.55
528010,0.49,0.24,-0.55
528215,0.49,0.43,-0.55
528419,0.43,0.79,-0.55
528624,0.49,0.24,-0.55
528827,0.49,0.12,-0.55
529032,0.49,0.43,-0.55
529237,0.49,0.0,-0.49
529441,0.49,0.37,-0.55
529644,0.49,0.18,-0.55
529850,0.49,0.18,-0.55
530052,0.49,0.24,-0.55
530256,0.43,0.18,-0.49
530459,0.49,0.73,-0.55
530664,0.49,0.55,-0.55
530867,0.43,-0.06,-0.49
531072,0.43,-0.06,-0.49
531276,0.43,0.43,-0.55
531479,0.49,0.24,-0.55
531684,0.43,0.24,-0.61
531887,0.49,0.24,-0.55
532092,0.49,0.24,-0.55
532295,0.43,0.43,-0.55
532498,0.49,0.37,-0.55
532703,0.43,0.18,-0.61
532906,0.49,0.43,-0.55
533109,0.49,0.18,-0.55
533314,0.49,0.31,-0.55
533517,0.49,0.24,-0.55
533720,0.49,0.06,-0.55
533925,0.49,0.49,-0.55
534129,0.49,0.37,-0.61
534334,0.49,0.31,-0.55
534538,0.49,0.06,-0.55
534741,0.49,0.31,-0.55
534944,0.49,0.43,-0.55
535147,0.49,0.18,-0.61
535351,0.49,0.43,-0.55
535554,0.49,0.24,-0.61
535757,0.49,0.31,-0.55
535959,0.49,0.49,-0.55
536162,0.49,0.0,-0.61
536364,0.49,0.18,-0.61
536568,0.49,0.18,-0.61
536771,0.49,0.37,-0.61
536973,0.49,0.37,-0.61
537176,0.43,0.0,-0.61
537380,0.43,0.18,-0.55
537585,0.49,0.31,-0.61
537789,0.49,0.43,-0.55
537992,0.49,0.24,-0.55
538195,0.49,0.24,-0.55
538399,0.49,0.18,-0.55
538603,0.43,0.24,-0.55
538807,0.49,0.24,-0.55
539010,0.49,0.18,-0.61
539213,0.49,0.12,-0.55
539416,0.49,0.0,-0.55
539621,0.49,0.49,-0.55
539824,0.49,0.18,-0.55
540030,0.49,0.49,-0.55
540233,0.43,0.61,-0.61
540438,0.49,-0.18,-0.55
540642,0.49,0.37,-0.55
540848,0.49,0.24,-0.55
541051,0.49,0.43,-0.55
541254,0.61,1.28,-0.61
541457,0.43,-0.43,-0.55
541662,0.49,0.61,-0.55
541867,0.55,0.92,-0.55
542072,0.43,0.06,-0.55
542276,0.55,0.98,-0.67
542481,0.49,-0.31,-0.55
542686,0.49,0.43,-0.61
542892,0.49,0.24,-0.55
543097,0.49,0.18,-0.61
543300,0.49,0.31,-0.61
543502,0.49,0.24,-0.61
543705,0.49,0.31,-0.55
543909,0.49,0.37,-0.61
544115,0.49,0.24,-0.55
544320,0.43,0.31,-0.55
544524,0.49,0.31,-0.55
544728,0.49,0.43,-0.55
544933,0.43,0.12,-0.55
545138,0.49,0.18,-0.61
545341,0.49,0.18,-0.55
545546,0.49,0.18,-0.55
545750,0.43,0.18,-0.55
545952,0.49,0.18,-0.61
546157,0.49,0.18,-0.55
546361,0.49,0.37,-0.49
546565,0.43,0.18,-0.49
546770,0.49,0.31,-0.49
546974,0.43,0.31,-0.43
547178,0.49,0.24,-0.55
547381,0.43,0.49,-0.49
547586,0.43,0.31,-0.49
547789,0.43,0.24,-0.49
547993,0.49,0.06,-0.49
548197,0.43,0.06,-0.49
548403,0.43,0.12,-0.55
548607,0.43,0.18,-0.55
548809,0.49,0.06,-0.49
549012,0.43,0.24,-0.49
549217,0.49,0.31,-0.55
549420,0.43,0.12,-0.55
549624,0.49,0.24,-0.55
549829,0.49,0.24,-0.55
550034,0.49,0.24,-0.61
550239,0.49,0.18,-0.49
550442,0.43,0.24,-0.55
550645,0.49,0.18,-0.55
550849,0.37,0.31,-0.55
551052,0.43,0.31,-0.55
551256,0.43,0.73,-0.49
551460,0.49,0.18,-0.55
551665,0.43,0.24,-0.43
551869,0.43,0.43,-0.43
552073,0.49,0.12,-0.43
552276,0.43,0.37,-0.43
552480,0.43,0.24,-0.43
552684,0.49,0.49,-0.49
552889,0.43,-0.24,-0.43
553092,0.43,0.31,-0.49
553296,0.43,0.49,-0.43
553501,0.43,0.61,-0.55
553706,0.43,0.0,-0.43
553909,0.43,0.55,-0.49
554111,0.49,0.24,-0.49
554315,0.43,0.73,-0.49
554520,0.49,0.31,-0.49
554723,0.43,0.24,-0.49
554927,0.49,0.31,-0.49
555132,0.43,0.37,-0.61
555335,0.43,0.12,-0.61
555540,0.43,0.31,-0.55
555744,0.55,0.37,-0.55
555949,0.49,0.06,-0.55
556154,0.43,0.92,-0.55
556358,0.49,-0.24,-0.55
556564,0.49,0.0,-0.55
556769,0.49,0.18,-0.49
556972,0.49,-0.06,-0.49
557175,0.49,0.61,-0.61
557380,0.43,0.43,-0.49
557585,0.43,0.55,-0.61
557789,0.49,0.43,-0.61
557994,0.43,0.18,-0.55
558199,0.49,0.31,-0.61
558405,0.49,0.0,-0.55
558608,0.43,0.37,-0.55
558813,0.37,0.98,-0.55
559019,0.49,-0.43,-0.49
559221,0.49,0.55,-0.61
559424,0.49,0.06,-0.55
559629,0.43,0.18,-0.55
559834,0.55,5.13,-0.61
560038,0.43,-2.44,-0.49
560243,0.49,1.28,-0.61
560446,0.49,-0.37,-0.55
560649,0.49,0.49,-0.61
560854,0.49,0.12,-0.49
561057,0.43,0.24,-0.61
561260,0.49,0.37,-0.55
561466,0.49,0.12,-0.55
561669,0.49,0.31,-0.61
561873,0.49,0.12,-0.55
562076,0.49,0.24,-0.55
562282,0.49,0.18,-0.55
562487,0.49,0.18,-0.55
562692,0.43,0.31,-0.55
562897,0.43,0.43,-0.61
563099,0.49,0.43,-0.61
563303,0.79,-0.98,-0.49
563507,0.49,-1.65,-0.49
563711,0.49,1.22,-0.61
563914,0.49,0.06,-0.55
564119,0.49,0.43,-0.55
564323,0.49,0.37,-0.55
564525,0.49,0.31,-0.55
564729,0.49,0.37,-0.55
564934,0.43,0.43,-0.55
565138,0.43,0.0,-0.55
565344,0.49,0.31,-0.55
